Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,img
49,Hall of Fame,The Script,celtic rock,2012,0.09009009,0.897435897,0.3,0.181818182,0.113924051,63,0.308724832,0.083333333,0.069767442,78,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
50,Payphone,Maroon 5,pop,2012,0.315315315,0.743589744,0.757142857,0.272727273,0.329113924,55,0.496644295,0.023809524,0.023255814,78,https://i.scdn.co/image/608c7b23420c9556a7eabd9097f7e171a91d3871
51,PILLOWTALK,ZAYN,dance pop,2016,0.45045045,0.679487179,0.528571429,0.181818182,0.075949367,44,0.308724832,0.142857143,0.046511628,78,https://i.scdn.co/image/90e30d448412c75b896da19a68db1da01ed99133
52,All I Want,Kodaline,irish pop,2013,0.099099099,0.307692308,0,0.727272727,0.063291139,16,1,0.202380952,0.023255814,78,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
53,Youngblood,5 Seconds of Summer,boy band,2018,0.405405405,0.871794872,0.557142857,0.272727273,0.113924051,15,0.308724832,0.023809524,1,77,https://i.scdn.co/image/81f45e1c43d961f38e0885e79db547b86d25d101
54,Symphony,Clean Bandit,dance pop,2017,0.432432432,0.58974359,0.714285714,0.272727273,0.139240506,46,0.369127517,0.30952381,0.069767442,77,https://i.scdn.co/image/08a4e4c0edda46a1ab4c9ee851f8fa567741d7e6
55,Unsteady,X Ambassadors,indie poptimism,2015,0.378378378,0.641025641,0.257142857,0.363636364,0.113924051,20,0.248322148,0.214285714,0.069767442,77,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
56,Classic,MKTO,dance pop,2012,0.243243243,0.794871795,0.728571429,0.272727273,0.164556962,76,0.120805369,0.047619048,0.209302326,77,https://i.scdn.co/image/2622edec99d68d1d141886be593c88cbe509f6d8
57,Time of Our Lives,Pitbull,dance pop,2014,0.441441441,0.807692308,0.728571429,0.363636364,0.835443038,72,0.483221477,0.107142857,0.069767442,77,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
58,Please Don't Go,Joel Adams,australian pop,2015,0.081081081,0.769230769,0.428571429,0.272727273,0.329113924,24,0.362416107,0.011904762,0.069767442,76,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
59,When You Love Someone,James TW,neo mellow,2019,0.459459459,0.358974359,0.671428571,0.363636364,0.025316456,35,0.402684564,0.30952381,0,76,https://i.scdn.co/image/2622edec99d68d1d141886be593c88cbe509f6d8
60,I Dont Wanna Live Forever,ZAYN,dance pop,2016,0.387387387,0.358974359,0.757142857,0.545454545,0.379746835,9,0.590604027,0.071428571,0.069767442,76,https://i.scdn.co/image/90e30d448412c75b896da19a68db1da01ed99133
61,Perfect Strangers,Jonas Blue,dance pop,2018,0.387387387,0.884615385,0.742857143,0.181818182,0.227848101,70,0.268456376,0.464285714,0.046511628,76,https://i.scdn.co/image/0de1e03f79ab154f2a0087bffb0d6d6847e1c288
62,Friends (with BloodPopÂ®),Justin Bieber,canadian pop,2017,0.27027027,0.717948718,0.757142857,0.272727273,0.341772152,62,0.214765101,0,0.023255814,75,https://i.scdn.co/image/d745628f6659a715f0f69eed1508805849796e5e
63,September Song,JP Cooper,dance pop,2017,0.189189189,0.576923077,0.571428571,0.454545455,0.075949367,37,0.422818792,0.05952381,0.023255814,75,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
64,Never Forget You,Zara Larsson,dance pop,2017,0.63963964,0.717948718,0.528571429,0.363636364,0.303797468,28,0.375838926,0,0.046511628,75,https://i.scdn.co/image/239ab578b400c47a455df2bb945ac81c180db2bc
65,Say You Won't Let Go,James Arthur,pop,2016,0.216216216,0.5,0.271428571,0.454545455,0.075949367,48,0.362416107,0.821428571,0.046511628,75,https://i.scdn.co/image/dd8ceb41c23ec3352cfc19df178e7f243d6182e4
66,Airplanes,B.o.B,atl hip hop,2010,0.162162162,0.897435897,0.642857143,0.181818182,0.012658228,38,0.154362416,0.130952381,0.209302326,75,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
